CLIENTE_CODIGO_VENTA;CLIENTE_DESCRIPCION_VENTA
102004765;COOPERATIVA CORDOBA FARMACEUTICA DE PROVISION TRANSFORMACION Y COMERCIALIZACION ,CONSUMO,SERVICIOS ASISTENCIAL,CREDITOS Y VIVIENDA LIMITADA
102004775;ELDER TEC S.R.L.
900000174;CLIENTES GENERICOS AUTOMOTRIZ
900000175;CLIENTES GENERICOS ENERGIA
900000153;CLIENTES GENERICOS MODA & FASHION
900000163;CLIENTES GENERICOS CONSUMO MASIVO
900000169;CLIENTES GENERICOS SALUD & FARMA
900000176;CLIENTES GENERICOS RETAIL
900000177;CLIENTES GENERICOS TELCO
900000178;CLIENTES GENERICOS TECNO
900000180;CLIENTES GENERICOS SS FCIEROS
102004766;SERVICIO NACIONAL DE SANIDAD Y CALIDAD A
102002796;MG PHARMACORP SRL
102004055;NAKA OUTDOORS CO. S.R.L. 
102004211;INGRECOR S.A.
102004667;NEWSAN MALL S.A.U.
102004772;NUEVA COLON S.R.L.
102004830;GRIMBERG DENTALES S.A.
102004850;DECOMAT S.A.
102004855;FASCE MARTINA ANTONELLA
102003267;REDFARM S.A.
102003975;MINISTERIO DE EDUCACION CBA
102004895;CARSA S.A.
102003190;PICK IT ARGENTINA
102003781;BOSTON SCIENTIFIC ARGENTINA S A
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102000857;NUEVO BANCO DE SANTA FE S.A.
102001306;ALOT S.A.
101010101;ORG COURIER ARG
102004870;GONZALEZ HERNAN ALBERTO
102001710;MIN.COORD.DE GAB.CHUBUT
102001397;HSBC BANK ARGENTINA S.A.
102000317;BANCO MACRO S.A.
102001710;MIN.COORD.DE GAB.CHUBUT
102000317;BANCO MACRO S.A.
102001710;MIN.COORD.DE GAB.CHUBUT
102004450;ANYWAY S.A
102000355;SPEDROG CAILLON S.A.I.C.
102000395;GLAXO SMITH KLINE
102000598;CORTE SUPREMA DE JUSTICIA - OS
102001653;ADDOC ADMIN.DE DOCUMENTOS S.A.
102002933;OPCION SEGUROS S.A.
102002951;SOTO LOPEZ MARIA EUGENIA
102003200;SUIZO ARGENTINA SOCIEDAD ANONIMA
102003307;HELIOS PHARMA S.A.
102003590;ATENE LOGISTIC S.A.
102003690;BAICOMEX S.A.
102003815;INFORMATION TECHNOLOGY S.A.
102004005;HACIENDO CAMINO ASOCIACION CIVIL
102004015;TISCH S.R.L.
102004035;MANZO VERONICA SUS
102004045;DULCE SRL
102004170;WESTPOINT DE ARGENTINA SA
102004431;G P V SOCIEDAD ANONIMA
102004440;ASOCIACION CIVIL MARIA REINA DEL TE
102004640;PETROQUIMICA RIO TERCERO S.A.
900000999;OCASA RED
102000399;BANCO DE TUCUMÁN S.A.
102000515;PRAXAIR ARGENTINA S.R.L.
102000661;FALABELLA S.A.
102000736;DROGUERÍA META S.A.
102001615;SEA COOP. DE CREDITO, VIVIENDA Y CONSUMO LTDA.
102002419;BARRA TRES DISEÑO Y COMUNICACION
102003146;ALBERTO MENDEZ E HIJOS SA
102003247;DISTRIBUIDORA Y DROGUERIA COFARMA SRL
102004525; COMUNIDAD FELICITE S.R.L.
102004860;DROGUERÍA DIMEC S.R.L.
102004865;BANCO DE LA PAMPA S.E.M.
102004875;CARLOS ANDRETICH S.A.
102000327;COMPAÑIA DE SEGUROS EL NORTE SOCIED
102000372;BAYER S.A.
102000457;C.O.P.I.J.S.U.D.
102000458;FED ARG TRABAJADORES LUZ Y FUERZA
